experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
11,fingerprint_concat,3,af_review,10,11,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.057, temperature=120}",45.62,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
12,fingerprint_concat,3,af_review,11,12,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.057, temperature=105}",13.41,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
13,fingerprint_concat,3,af_review,12,13,gp,mixed_sum_product,ts,gp/mixed_sum_product/ts,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",0,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
14,fingerprint_concat,3,af_review,13,14,gp,mixed_sum_product,ts,gp/mixed_sum_product/ts,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=105}",59.92,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
15,fingerprint_concat,3,af_review,14,15,gp,mixed_sum_product,ts,gp/mixed_sum_product/ts,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=105}",72.89,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
16,fingerprint_concat,3,af_review,15,16,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=120}",72.21,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
17,fingerprint_concat,3,af_review,16,17,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.153, temperature=90}",0,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
18,fingerprint_concat,3,af_review,17,18,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.1, temperature=105}",83.83,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
19,fingerprint_concat,3,af_review,18,19,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",78.95,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
20,fingerprint_concat,3,af_review,19,20,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",65.37,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
21,fingerprint_concat,3,af_review,20,21,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0.07,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
22,fingerprint_concat,3,af_review,21,22,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",7.26,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
23,fingerprint_concat,3,af_review,22,23,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",28.64,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
24,fingerprint_concat,3,af_review,23,24,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",77.41,"Selected UCB with beta=2.0 to prioritize exploration after the GP model failure in iterations 9-10. The campaign has identified a high-performing region (Xantphos/KOAc/p-xylene/120°C/0.153 M = 61.67% yield) but has not yet tested alternative bidentate scaffolds (BINAP, dppf, DPEphos) per [HYPOTHESIS:H4]. The previous log_ei acquisition led to over-exploitation of the Xantphos scaffold and failed to explore the broader bidentate ligand space. UCB with elevated beta encourages exploration of under-sampled regions, which is critical for testing whether 61.67% is Xantphos-specific or generalizable to other bidentate architectures. Beta=2.0 balances exploration (finding new high-potential scaffolds) with exploitation (refining known good conditions). This aligns with [RULE:R1]: when prediction gaps exceed 20 in regions of potential breakthrough, prioritize exploration beyond model predictions.","Selected mixed_sum_product kernel to better model the interaction-heavy mixed categorical-continuous space. The DAR system shows strong interaction effects between ligand scaffold (categorical), solvent (categorical), and temperature (encoded continuous). The previous Matern52 kernel failed to capture these interactions, leading to model instability. The mixed_sum_product kernel provides a weighted blend of additive and multiplicative behavior, which is appropriate given the confirmed interaction between base_SMILES, concentration, solvent_SMILES, temperature, and ligand_SMILES [RULE:R12, confidence=0.47, evidence_count=10]. This kernel is specifically designed for encoded chemistry search spaces with both main effects and interactions."
